job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,48140,USD,EN,Full-time,China,L,China,100,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.6,Smart Analytics
AI00002,AI Software Engineer,48260,USD,EN,Full-time,Canada,S,Ireland,0,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,7.7,TechCorp Inc
AI00003,AI Specialist,56983,USD,MI,Full-time,Switzerland,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,5.6,Autonomous Tech
AI00004,NLP Engineer,40985,USD,EN,Freelance,India,S,India,100,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,4.4,Future Systems
AI00005,AI Consultant,89894,EUR,MI,Contract,France,S,Singapore,0,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,5.6,Advanced Robotics
AI00006,AI Architect,81278,EUR,MI,Full-time,Germany,M,Germany,0,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,6.8,Neural Networks Co
AI00007,Principal Data Scientist,40825,GBP,EN,Freelance,United Kingdom,S,United Kingdom,50,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,10.0,DataVision Ltd
AI00008,NLP Engineer,32639,EUR,EN,Full-time,France,M,France,50,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.1,Cloud AI Solutions
AI00009,Data Analyst,111713,USD,SE,Full-time,Singapore,S,Singapore,50,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.8,Quantum Computing Inc
AI00010,AI Software Engineer,38949,USD,EN,Full-time,Austria,S,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,4.3,Cloud AI Solutions
AI00011,Autonomous Systems Engineer,43764,USD,EN,Freelance,Sweden,M,Sweden,0,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,7.4,Smart Analytics
AI00012,AI Architect,29519,USD,EN,Full-time,South Korea,M,South Korea,100,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,2.0,TechCorp Inc
AI00013,AI Consultant,141703,EUR,EX,Full-time,France,S,France,0,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,8.0,Predictive Systems
AI00014,Autonomous Systems Engineer,31116,USD,EN,Freelance,Norway,L,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,4.5,Cloud AI Solutions
AI00015,AI Research Scientist,28018,USD,EN,Contract,Sweden,S,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,7.5,Advanced Robotics
AI00016,AI Product Manager,36499,GBP,EN,Full-time,United Kingdom,S,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.0,DataVision Ltd
AI00017,Principal Data Scientist,45704,USD,EN,Contract,India,M,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,10.0,Predictive Systems
AI00018,Machine Learning Engineer,29639,EUR,EN,Full-time,France,M,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,7.9,AI Innovations
AI00019,Data Engineer,112423,USD,SE,Full-time,Singapore,S,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,6.9,Algorithmic Solutions
AI00020,Research Scientist,131666,EUR,SE,Contract,Netherlands,S,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,5.8,AI Innovations
AI00021,Data Engineer,46889,USD,EN,Freelance,Norway,S,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,6.6,AI Innovations
AI00022,Autonomous Systems Engineer,183825,USD,EX,Contract,United States,M,United States,100,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,6.9,Cognitive Computing
AI00023,ML Ops Engineer,33084,EUR,EN,Full-time,Germany,M,Germany,50,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.0,Quantum Computing Inc
AI00024,AI Product Manager,45404,USD,EN,Full-time,Austria,M,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,6.3,Cloud AI Solutions
AI00025,ML Ops Engineer,65629,USD,MI,Freelance,China,L,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,5.7,AI Innovations
AI00026,Robotics Engineer,31060,USD,EN,Full-time,Israel,S,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,3.6,DataVision Ltd
AI00027,ML Ops Engineer,101586,USD,SE,Part-time,Australia,S,India,100,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.0,TechCorp Inc
AI00028,Data Analyst,41368,USD,EN,Full-time,Austria,L,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,7.1,Predictive Systems
AI00029,Head of AI,106703,USD,SE,Contract,Ireland,L,Ireland,100,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,9.5,Cognitive Computing
AI00030,ML Ops Engineer,96521,USD,SE,Full-time,Israel,L,Israel,0,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.2,Future Systems
AI00031,Head of AI,100872,EUR,SE,Full-time,Netherlands,S,Netherlands,0,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.7,Advanced Robotics
