job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,55355,USD,EN,Full-time,Germany,L,China,100,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.6,Future Systems
AI00002,AI Software Engineer,41552,USD,EN,Full-time,United States,S,Ireland,0,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,7.7,Cloud AI Solutions
AI00003,AI Specialist,70594,USD,MI,Full-time,Singapore,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,5.6,Autonomous Tech
AI00004,NLP Engineer,43020,USD,EN,Freelance,Norway,S,India,100,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,4.4,Machine Intelligence Group
AI00005,AI Consultant,90618,EUR,MI,Contract,Germany,S,Singapore,0,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,5.6,Neural Networks Co
AI00006,AI Architect,80326,EUR,MI,Full-time,United Kingdom,M,Germany,0,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,6.8,Cognitive Computing
AI00007,Principal Data Scientist,31825,GBP,EN,Freelance,United Kingdom,S,United Kingdom,50,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,10.0,AI Innovations
AI00008,NLP Engineer,34569,EUR,EN,Full-time,India,M,France,50,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.1,Advanced Robotics
AI00009,Data Analyst,156477,USD,SE,Full-time,Canada,S,Singapore,50,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.8,Machine Intelligence Group
AI00010,AI Software Engineer,34685,USD,EN,Full-time,India,S,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,4.3,Digital Transformation LLC
AI00011,Autonomous Systems Engineer,36337,USD,EN,Freelance,United States,M,Sweden,0,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,7.4,Cloud AI Solutions
AI00012,AI Architect,29408,USD,EN,Full-time,Germany,M,South Korea,100,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,2.0,Predictive Systems
AI00013,AI Consultant,246857,EUR,EX,Full-time,France,S,France,0,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,8.0,Advanced Robotics
AI00014,Autonomous Systems Engineer,34443,USD,EN,Freelance,China,L,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,4.5,Cloud AI Solutions
AI00015,AI Research Scientist,18497,USD,EN,Contract,United States,S,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,7.5,DeepTech Ventures
AI00016,AI Product Manager,34599,GBP,EN,Full-time,United States,S,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.0,Cognitive Computing
AI00017,Principal Data Scientist,40569,USD,EN,Contract,Japan,M,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,10.0,Cloud AI Solutions
AI00018,Machine Learning Engineer,25589,EUR,EN,Full-time,United Kingdom,M,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,7.9,DeepTech Ventures
AI00019,Data Engineer,114026,USD,SE,Full-time,France,S,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,6.9,Smart Analytics
AI00020,Research Scientist,175522,EUR,SE,Contract,United States,S,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,5.8,Neural Networks Co
AI00021,Data Engineer,39996,USD,EN,Freelance,United States,S,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,6.6,Autonomous Tech
AI00022,Autonomous Systems Engineer,299887,USD,EX,Contract,Germany,M,United States,100,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,6.9,AI Innovations
AI00023,ML Ops Engineer,38092,EUR,EN,Full-time,China,M,Germany,50,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.0,Predictive Systems
AI00024,AI Product Manager,43013,USD,EN,Full-time,Germany,M,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,6.3,Digital Transformation LLC
AI00025,ML Ops Engineer,84272,USD,MI,Freelance,United States,L,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,5.7,Cognitive Computing
AI00026,Robotics Engineer,30463,USD,EN,Full-time,Canada,S,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,3.6,DeepTech Ventures
AI00027,ML Ops Engineer,122068,USD,SE,Part-time,United States,S,India,100,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.0,Cloud AI Solutions
AI00028,Data Analyst,58034,USD,EN,Full-time,South Korea,L,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,7.1,Autonomous Tech
AI00029,Head of AI,209584,USD,SE,Contract,Japan,L,Ireland,100,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,9.5,DataVision Ltd
